family_id,act_RF_mW,mu,sigma
0,20.022043186152064,52.53048482660159,0.5000000000000001
0,19.110589914501357,51.73238207388798,0.7464144245094083
0,17.894697131323394,50.87848380360703,0.5000000000000001
0,17.205557098728786,54.53767805969802,0.7602094961705048
0,16.125294035367475,53.385259371868166,0.5000000000000001
0,15.410784269205204,52.29841217779404,0.5000000000000001
0,14.674560810067584,51.12771277051976,1.9826418986329744
0,14.24000374861765,50.57980776514942,0.5000000000000001
0,14.025764881541932,50.16511886628899,0.5000000000000001
0,13.747262797958856,50.68333410033033,1.218126356081774
0,13.387943167997838,50.22712057019089,0.5000000000000001
0,13.173081903542156,50.44362820591305,0.742779449965167
0,12.83842079799632,50.81262153565489,1.182792671272107
0,12.557789890791137,50.600358816133934,0.8704445999402484
0,12.00092624945035,50.09578170404735,0.5000000000000001
0,10.790574302568103,46.935401463239096,2.651112866346369
0,9.830563459564187,50.359121156532,0.6057980566243565
1,20.022043186152064,79.30746126774783,0.8682498095594053
1,19.110589914501357,74.84329599103306,2.9774410752508538
1,17.894697131323394,70.50103246865764,0.6595146033398354
1,17.205557098728786,68.52453653725188,3.8946525934548526
1,16.125294035367475,67.25373769919648,0.5341063393172646
1,15.410784269205204,65.64788307923935,0.5000000000000001
1,14.674560810067584,64.26625792898143,0.5000000000000001
1,14.24000374861765,63.32444837651611,0.5000000000000001
1,14.025764881541932,62.08277337505479,0.9949030428150812
1,13.747262797958856,60.72087287580815,1.091579487316755
1,13.387943167997838,58.97539130263264,2.099421111826273
1,13.173081903542156,58.99137665490166,1.8332681849764945
1,12.83842079799632,55.89821565732316,1.897761041879644
1,12.557789890791137,54.92137957161817,1.2159046557829594
1,12.00092624945035,55.59795123066085,1.9005411656787643
1,11.734339133380656,53.15022205038948,0.9828477140939424
1,11.378539683871784,52.53776187860932,0.8244939249362615
1,10.790574302568103,51.39234558547062,0.9622113695374644
1,9.830563459564187,44.47412647914517,1.55411200270826
2,20.022043186152064,90.83819515352948,1.6810842676103626
2,19.110589914501357,87.09529944570671,0.5470848770036096
2,17.894697131323394,84.87977768211003,0.5050434809604413
2,17.205557098728786,82.00035033710013,0.6871130057513734
2,16.125294035367475,79.93941083580671,0.7076989971343648
2,15.410784269205204,78.43975700010296,1.0897791443946336
2,14.674560810067584,76.22547166103293,0.9355718082638764
2,14.24000374861765,75.68755575897605,0.5000000000000001
2,14.025764881541932,74.99003971484828,0.5000000000000001
2,13.747262797958856,73.24474572531808,0.7939595545707888
2,13.387943167997838,72.3549678332233,0.6911227009272516
2,13.173081903542156,71.7843984980893,0.7353670975101717
2,12.83842079799632,71.1103484595158,0.6658521336912314
2,12.557789890791137,69.8118191885847,0.5372556597550195
2,12.00092624945035,68.45655188489769,0.5000000000000001
2,11.734339133380656,68.23019595625865,0.5256354703463983
2,11.378539683871784,67.53904223470887,0.5000000000000001
2,11.092823386153531,66.35739027085573,0.5000000000000001
2,10.790574302568103,64.53818751895658,0.5123338127479444
2,9.830563459564187,61.07822281625962,0.5000000000000001
3,20.022043186152064,129.84933950955826,0.568549692340196
3,19.110589914501357,129.75768219736472,0.5000000000000001
3,17.894697131323394,126.35630024821302,0.5000000000000001
3,17.205557098728786,124.10421480791943,0.739504025902543
3,16.125294035367475,120.59649987723591,0.7002297393174642
3,15.410784269205204,117.84788987752415,0.6399994393476208
3,14.674560810067584,116.56067913004829,0.5000000000000001
3,14.24000374861765,115.01492074659204,0.5000000000000001
3,14.025764881541932,113.69065389449706,0.5480425329106356
3,13.747262797958856,112.94988449507105,0.5490413450453737
3,13.387943167997838,111.57856289158104,0.5000000000000001
3,13.173081903542156,111.3374465609406,0.5000000000000001
3,12.83842079799632,109.2306731268559,0.6459100869383506
3,12.557789890791137,108.32582531138634,0.7374708108511934
3,12.00092624945035,107.86960737981175,0.5000000000000001
3,11.734339133380656,105.88037923374856,1.96675113284461
3,11.378539683871784,104.75196993683412,0.5000000000000001
3,9.830563459564187,96.2255522424855,0.5000000000000001
4,16.125294035367475,133.51768972981014,0.5000000000000001
4,15.410784269205204,131.18088685895316,0.5000000000000001
4,14.674560810067584,128.36255450007795,0.5000000000000001
4,14.24000374861765,126.89509792324458,0.5000000000000001
4,14.025764881541932,125.28181429789056,0.5000000000000001
4,13.387943167997838,123.85589433712208,1.079417422850526
4,13.173081903542156,122.29255689740256,1.5077018942975489
4,12.83842079799632,122.3150491772826,0.6279328276770149
4,12.557789890791137,121.00850487332688,0.66764097144471
4,12.00092624945035,119.5758377009107,0.5000000000000001
4,11.734339133380656,118.46578046149858,0.5042096321649229
4,11.378539683871784,117.15529118443054,0.8622517688110996
5,13.173081903542156,129.98084195805097,1.275266190971828
5,12.83842079799632,128.5890886469077,0.8947303357763748
5,14.674560810067584,139.99999999999997,0.5000000000000001
5,12.557789890791137,124.60090176727822,1.0082619517546247
5,12.00092624945035,123.67892745659606,1.8248866073049188
5,11.734339133380656,121.05498257417698,0.5000000000000001
5,11.378539683871784,119.58912259475234,0.5258459364302233
5,11.092823386153531,117.5017951293345,0.5000000000000001
5,10.790574302568103,115.97909514458894,0.5000000000000001
6,12.00092624945035,136.71088137340627,0.578938878799081
6,11.378539683871784,134.61514814768103,0.6032845579049625
6,11.092823386153531,132.7037280717978,0.7351634696577447
6,10.790574302568103,129.53375716524414,0.697586542722805
6,9.830563459564187,122.6743421069112,0.5000000000000001
7,20.022043186152064,105.02447783873431,0.5000000000000001
7,12.83842079799632,103.01299843026035,1.0160893022484685
7,17.894697131323394,105.61300032842117,0.5000000000000001
7,11.734339133380656,101.40770686212709,0.7262433178283433
7,11.378539683871784,101.0789740667808,1.388329240157531
7,11.092823386153531,102.7817647896559,0.5694730548257545
7,10.790574302568103,102.45094842520317,0.9053874478253288
7,9.830563459564187,101.25239281171376,1.074748269880106
