timestamp,RF_amplitude,split_x,n_peaks_trapped,n_peaks_lost,warn_flags,trapped_prom_left,trapped_prom_right,lost_prom_left,lost_prom_right
20260301_114719,-0.5,70.0,7,8,,0.01067849463934581,0.01,0.01,0.01
20260301_201959,-0.5,71.5,8,7,,0.011118146945010858,0.01,0.010882546242737408,0.01
20260304_122046,-0.5,72.0,7,6,,0.011277843222836828,0.01,0.010797394494364372,0.01
20260305_181001,-0.5,71.5,6,6,,0.013612062080132315,0.013612062080132315,0.013002925536716082,0.01
20260305_211334,-0.5,72.0,7,7,,0.013570102574042243,0.012934654908729212,0.013106092517407894,0.01
20260301_084142,0.0,74.0,7,7,,0.012766652776481887,0.01,0.012916155343979482,0.01
20260301_211855,0.0,74.0,7,7,,0.013049587533712971,0.010938512648092211,0.012660405332115222,0.01
20260302_142456,0.0,74.0,6,6,,0.015307052460428669,0.011865952237499665,0.014656398426531003,0.01
20260305_032220,0.0,73.5,7,6,,0.016356946359800634,0.01,0.0159702002301297,0.01
20260306_222515,0.0,80.0,6,6,,0.01599866027470503,0.012797122910858235,0.015088576559594004,0.01
20260228_130122,0.2,74.5,7,8,,0.01132574110254062,0.010408357415062118,0.012250568224253732,0.01
20260301_134556,0.2,74.0,8,7,,0.014497987118612343,0.012257329341510269,0.014804960290964677,0.01
20260302_191732,0.2,82.0,7,6,,0.015457455908127322,0.010771037329664184,0.015874384595458323,0.01
20260302_200952,0.2,75.5,9,8,,0.01509586846460241,0.01,0.015208398184266112,0.01
20260304_161804,0.2,88.0,7,7,,0.016860895663034434,0.011076268246364708,0.016607982135078487,0.01
20260304_182221,0.2,74.0,7,6,,0.01820648534612863,0.014178556031148475,0.018084220485506685,0.01
20260228_120620,0.4,79.0,6,7,,0.011289143763444113,0.011282573636772718,0.011831454113891996,0.01
20260301_034144,0.4,89.0,7,7,,0.014326329109251572,0.011093579902685658,0.014473739056386716,0.01
20260301_181819,0.4,74.5,7,7,,0.016123867593154876,0.012075106887193593,0.01592697987528819,0.01
20260305_125827,0.4,89.5,5,6,,0.013383493810030778,0.01145042435170029,0.01550288245179209,0.01
20260302_132016,0.6,78.0,5,7,,0.013812786017614294,0.012507540756971242,0.014418430396081677,0.01
20260302_161406,0.6,87.0,5,7,,0.014238679632064164,0.01038963802009839,0.013441529638646234,0.01
20260303_173730,0.6,80.0,5,7,,0.012111903463990452,0.012111903463990452,0.010993491407562683,0.01
20260304_172146,0.6,80.0,6,6,,0.014750224581139013,0.013896112859710832,0.01418035913241816,0.01
20260305_041641,0.6,80.0,6,7,,0.012473602854290415,0.012473602854290415,0.011865994753314457,0.01
20260305_083539,0.6,80.0,5,6,,0.015083422069972797,0.015083422069972797,0.012044964195963572,0.01
20260301_003936,0.8,80.0,6,6,,0.014388508122739231,0.010688240919178835,0.014426707518664674,0.01
20260301_073606,0.8,91.5,6,6,,0.01257258948592786,0.011923408327339685,0.012605692457645425,0.01
20260301_104215,0.8,91.0,5,5,,0.013587370922596872,0.013587370922596872,0.012497486680820987,0.01
20260303_123925,0.8,80.0,6,6,,0.014558268876424463,0.014558268876424463,0.01,0.01
20260303_134853,0.8,85.0,5,7,,0.015018795897618587,0.015018795897618587,0.01034641374704209,0.01
20260301_191810,1.0,80.0,5,6,,0.01325211598548214,0.01325211598548214,0.01,0.01
20260304_232147,1.0,87.0,5,7,,0.015659662881293897,0.015659662881293897,0.010693316649775759,0.01
20260305_012201,1.0,80.0,5,7,,0.017130270501198343,0.017130270501198343,0.01,0.01
20260305_073245,1.0,80.0,5,6,,0.016422957663346564,0.016422957663346564,0.01,0.01
20260306_124417,1.0,80.0,6,7,,0.020093458269766912,0.020093458269766912,0.011650719115201321,0.011650719115201321
20260303_060535,1.2,80.0,4,6,,0.02222694236191022,0.02222694236191022,0.01,0.01
20260304_131534,1.2,80.0,4,5,,0.017714524347050554,0.017714524347050554,0.01,0.01
20260304_221844,1.2,66.5,3,5,,0.020107933638515343,0.020107933638515343,0.010694808282404156,0.010694808282404156
20260305_022046,1.2,80.0,5,6,,0.01661431363517545,0.01661431363517545,0.01,0.01
20260305_104210,1.2,80.0,5,6,,0.018084770318231472,0.018084770318231472,0.01,0.01
20260301_171536,1.4,80.0,5,6,,0.013717561088371842,0.013717561088371842,0.01,0.01
20260301_231157,1.4,91.0,4,5,,0.013798888627552155,0.013798888627552155,0.01,0.01
20260306_072251,1.4,88.5,4,6,,0.017498360517648914,0.017498360517648914,0.01,0.01
20260306_144615,1.4,88.5,5,5,,0.019650096975448426,0.019650096975448426,0.01748017381467867,0.01748017381467867
20260307_022952,1.4,94.5,5,6,,0.019190878464743193,0.019190878464743193,0.01419711453347476,0.01419711453347476
20260301_053620,1.6,80.5,4,6,,0.015363285873850373,0.015363285873850373,0.01,0.01
20260305_150327,1.6,80.0,5,4,,0.018493083355790464,0.018493083355790464,0.013919265480518804,0.013919265480518804
20260305_200855,1.6,89.5,5,6,,0.019655448136112537,0.019655448136112537,0.01,0.01
20260305_231551,1.6,86.5,3,6,,0.024350671430344636,0.024350671430344636,0.013611780203965935,0.013611780203965935
20260306_093543,1.6,79.5,5,4,,0.01836937089897761,0.01836937089897761,0.01573521789516868,0.01573521789516868
20260228_135624,1.8,93.5,5,5,,0.016277213670432562,0.016277213670432562,0.01,0.01
20260301_043702,1.8,81.5,4,5,,0.015750045041877297,0.015750045041877297,0.01,0.01
20260305_190347,1.8,86.5,5,5,,0.01947568358533803,0.01947568358533803,0.013712772412744196,0.013712772412744196
20260306_104227,1.8,80.0,5,5,,0.027747935924903617,0.027747935924903617,0.013416957820684274,0.01113860867442894
20260306_201839,1.8,80.5,5,5,,0.016389237096440176,0.016389237096440176,0.01276369085284319,0.012512033373849164
20260228_145604,2.0,70.0,5,5,,0.014887912466425374,0.014887912466425374,0.01,0.01
20260304_151509,2.0,81.5,5,5,,0.019598253515556562,0.019598253515556562,0.010964781120192788,0.010964781120192788
20260305_051644,2.0,89.0,5,5,,0.013028544804571732,0.013028544804571732,0.012754804857706076,0.012754804857706076
20260305_160456,2.0,100.5,5,5,,0.017514147363067386,0.017514147363067386,0.011589079793823417,0.01
20260306_160413,2.0,80.5,5,5,,0.01661017355045529,0.01661017355045529,0.012531446598691464,0.01
20260301_093910,2.2,70.0,5,5,,0.01473534076064895,0.01473534076064895,0.01,0.01
20260302_230304,2.2,82.0,5,5,,0.015375010343826793,0.015375010343826793,0.010640999465832735,0.01
20260305_062330,2.2,81.0,5,5,,0.020405368971426693,0.020405368971426693,0.014264400908680834,0.01
20260306_082435,2.2,88.0,5,6,,0.017176771381913456,0.017176771381913456,0.011946905504998098,0.01
20260306_181251,2.2,85.0,5,5,,0.017230005215331943,0.017230005215331943,0.010244055729326539,0.01
20260228_234147,2.5,84.0,4,6,,0.014364427798820014,0.014364427798820014,0.01,0.01
20260301_124659,2.5,83.5,5,5,,0.015900909702372457,0.015900909702372457,0.01,0.01
20260302_220140,2.5,87.0,6,6,,0.014916218008755531,0.014916218008755531,0.010479374173916013,0.01
20260303_183739,2.5,103.0,5,5,,0.014704943594575104,0.014704943594575104,0.010476871000175006,0.01
20260306_191701,2.5,83.5,5,5,,0.01584156722702256,0.01584156722702256,0.010265689052433797,0.010265689052433797
20260228_194454,3.0,88.0,4,4,,0.011838907021318892,0.011838907021318892,0.01,0.01
20260302_210248,3.0,86.0,5,6,,0.016421134153447117,0.016421134153447117,0.01,0.01
20260306_062252,3.0,86.0,7,6,,0.010417570874324001,0.010417570874324001,0.01,0.01
20260306_114417,3.0,86.0,5,5,,0.02558353132238045,0.02558353132238045,0.01364321528669926,0.01364321528669926
20260307_033603,3.0,83.5,5,6,,0.01645853745742865,0.01645853745742865,0.01,0.01
20260228_224123,3.6,75.5,4,4,,0.0174976271161981,0.0174976271161981,0.01,0.01
20260305_002326,3.6,87.0,3,6,,0.022642756609422818,0.022642756609422818,0.01,0.01
20260305_140338,3.6,87.0,5,5,,0.016052666054765324,0.016052666054765324,0.01,0.01
20260305_171134,3.6,96.0,5,5,,0.01871691643354413,0.01871691643354413,0.010921986439671214,0.010921986439671214
20260306_170850,3.6,86.0,4,6,,0.016614696914085077,0.016614696914085077,0.01,0.01
20260301_024050,4.3,92.5,4,4,,0.011039406113998467,0.011039406113998467,0.01,0.01
20260304_192109,4.3,90.5,3,4,,0.02117248923184098,0.02117248923184098,0.01,0.01
20260306_212322,4.3,90.5,4,3,,0.017052494924669023,0.017052494924669023,0.01,0.01
20260306_232551,4.3,38.5,4,4,,0.01641189709828782,0.01641189709828782,0.01,0.01
20260228_214115,5.0,80.5,4,4,,0.01776407445982046,0.01776407445982046,0.01,0.01
20260301_063442,5.0,93.0,2,3,,0.01957486414198941,0.01957486414198941,0.01,0.01
20260301_221132,5.0,94.5,2,3,,0.01892209007826457,0.01892209007826457,0.01,0.01
20260302_122008,5.0,94.5,3,4,,0.015732297737919967,0.015732297737919967,0.01,0.01
20260302_172124,5.0,93.0,2,3,,0.01777208045071317,0.01777208045071317,0.01,0.01
20260304_202210,5.0,94.0,2,3,,0.02506919991390419,0.02506919991390419,0.01,0.01
20260228_204102,6.0,97.5,3,4,,0.020607006710997175,0.020607006710997175,0.01,0.01
20260305_094000,6.0,96.0,1,5,,0.03079220698729456,0.03079220698729456,0.01,0.01
20260307_002532,6.0,59.5,4,4,,0.01815172218086239,0.01815172218086239,0.01,0.01
20260307_012920,6.0,98.0,2,4,,0.01828617236854839,0.01828617236854839,0.01,0.01
20260302_001754,8.0,61.0,3,4,,0.02180547463445554,0.02180547463445554,0.01,0.01
20260302_151609,8.0,60.5,3,4,,0.026838518050174415,0.026838518050174415,0.01,0.01
20260302_182031,8.0,99.0,2,4,,0.02725308769960674,0.02725308769960674,0.01,0.01
20260304_141615,8.0,61.0,2,3,,0.02292274703074765,0.02292274703074765,0.01,0.01
20260304_211839,8.0,62.5,2,4,,0.021872688274433588,0.021872688274433588,0.01,0.01
