"Freq [GHz]","dB(St(feedline_T1,feedline_T1)) []"
1.67557142857143,-17.8641464627214
1.67571428571429,-17.8535785454666
1.67585714285714,-17.8430177230453
1.676,-17.8324639500926
1.67614285714286,-17.821917181142
1.67628571428571,-17.8113773706234
1.67642857142857,-17.8008444728612
1.67657142857143,-17.7903184420722
1.67671428571429,-17.7797992323634
1.67685714285714,-17.76928679773
1.677,-17.7587810920536
1.67714285714286,-17.7482820690992
1.67728571428571,-17.737789682514
1.67742857142857,-17.7273038858247
1.67757142857143,-17.7168246324354
1.67771428571429,-17.7063518756254
1.67785714285714,-17.695885568547
1.678,-17.6854256642232
1.67814285714286,-17.6749721155453
1.67828571428571,-17.664524875271
1.67842857142857,-17.6540838960217
1.67857142857143,-17.6436491302801
1.67871428571429,-17.6332205303882
1.67885714285714,-17.6227980485447
1.679,-17.6123816368026
1.67914285714286,-17.6019712470666
1.67928571428571,-17.5915668310911
1.67942857142857,-17.5811683404771
1.67957142857143,-17.5707757266704
1.67971428571429,-17.5603889409583
1.67985714285714,-17.5500079344677
1.68,-17.539632658162
1.68014285714286,-17.5292630628391
1.68028571428571,-17.5188990991281
1.68042857142857,-17.508540717487
1.68057142857143,-17.4981878682
1.68071428571429,-17.4878405013747
1.68085714285714,-17.4774985669393
1.681,-17.4671620146402
1.68114285714286,-17.4568307940385
1.68128571428571,-17.4465048545079
1.68142857142857,-17.4361841452314
1.68157142857143,-17.4258686151986
1.68171428571429,-17.4155582132025
1.68185714285714,-17.4052528878369
1.682,-17.3949525874933
1.68214285714286,-17.3846572603578
1.68228571428571,-17.374366854408
1.68242857142857,-17.3640813174102
1.68257142857143,-17.3538005969159
1.68271428571429,-17.3435246402591
1.68285714285714,-17.3332533945527
1.683,-17.3229868066853
1.68314285714286,-17.3127248233185
1.68328571428571,-17.3024673908828
1.68342857142857,-17.292214455575
1.68357142857143,-17.2819659633542
1.68371428571429,-17.271721859939
1.68385714285714,-17.2614820908036
1.684,-17.2512466011745
1.68414285714286,-17.2410153360272
1.68428571428571,-17.230788240082
1.68442857142857,-17.2205652578012
1.68457142857143,-17.2103463333849
1.68471428571429,-17.2001314107676
1.68485714285714,-17.1899204336142
1.685,-17.1797133453167
1.68514285714286,-17.1695100889898
1.68528571428571,-17.1593106074675
1.68542857142857,-17.149114843299
1.68557142857143,-17.1389227387449
1.68571428571429,-17.128734235773
1.68585714285714,-17.1185492760543
1.686,-17.1083678009593
1.68614285714286,-17.0981897515532
1.68628571428571,-17.0880150685922
1.68642857142857,-17.0778436925193
1.68657142857143,-17.0676755634595
1.68671428571429,-17.0575106212161
1.68685714285714,-17.0473488052659
1.687,-17.0371900547548
1.68714285714286,-17.0270343084937
1.68728571428571,-17.0168815049532
1.68742857142857,-17.0067315822599
1.68757142857143,-16.9965844781908
1.68771428571429,-16.9864401301693
1.68785714285714,-16.9762984752602
1.688,-16.9661594501646
1.68814285714286,-16.9560229912156
1.68828571428571,-16.9458890343725
1.68842857142857,-16.9357575152168
1.68857142857143,-16.9256283689462
1.68871428571429,-16.9155015303698
1.68885714285714,-16.9053769339031
1.689,-16.8952545135624
1.68914285714286,-16.8851342029598
1.68928571428571,-16.8750159352973
1.68942857142857,-16.8648996433617
1.68957142857143,-16.8547852595191
1.68971428571429,-16.844672715709
1.68985714285714,-16.8345619434386
1.69,-16.8244528737774
1.69014285714286,-16.814345437351
1.69028571428571,-16.8042395643353
1.69042857142857,-16.7941351844506
1.69057142857143,-16.7840322269552
1.69071428571429,-16.7739306206398
1.69085714285714,-16.7638302938207
1.691,-16.7537311743339
1.69114285714286,-16.7436331895285
1.69128571428571,-16.7335362662601
1.69142857142857,-16.7234403308845
1.69157142857143,-16.7133453092511
1.69171428571429,-16.7032511266958
1.69185714285714,-16.6931577080343
1.692,-16.6830649775553
1.69214285714286,-16.6729728590135
1.69228571428571,-16.6628812756222
1.69242857142857,-16.6527901500466
1.69257142857143,-16.6426994043959
1.69271428571429,-16.6326089602163
1.69285714285714,-16.6225187384833
1.693,-16.6124286595942
1.69314285714286,-16.6023386433605
1.69328571428571,-16.5922486089995
1.69342857142857,-16.5821584751276
1.69357142857143,-16.5720681597506
1.69371428571429,-16.5619775802569
1.69385714285714,-16.5518866534088
1.694,-16.5417952953339
1.69414285714286,-16.531703421517
1.69428571428571,-16.5216109467912
1.69442857142857,-16.5115177853293
1.69457142857143,-16.5014238506351
1.69471428571429,-16.4913290555339
1.69485714285714,-16.4812333121641
1.695,-16.4711365319674
1.69514285714286,-16.46103862568
1.69528571428571,-16.4509395033224
1.69542857142857,-16.4408390741903
1.69557142857143,-16.4307372468449
1.69571428571429,-16.4206339291025
1.69585714285714,-16.410529028025
1.696,-16.4004224499093
1.69614285714286,-16.3903141002772
1.69628571428571,-16.3802038838648
1.69642857142857,-16.3700917046119
1.69657142857143,-16.3599774656514
1.69671428571429,-16.349861069298
1.69685714285714,-16.3397424170373
1.697,-16.3296214095146
1.69714285714286,-16.3194979465233
1.69728571428571,-16.3093719269934
1.69742857142857,-16.2992432489797
1.69757142857143,-16.2891118096499
1.69771428571429,-16.2789775052725
1.69785714285714,-16.2688402312043
1.698,-16.2586998818783
1.69814285714286,-16.2485563507906
1.69828571428571,-16.2384095304878
1.69842857142857,-16.228259312554
1.69857142857143,-16.2181055875976
1.69871428571429,-16.2079482452374
1.69885714285714,-16.1977871740895
1.699,-16.1876222617532
1.69914285714286,-16.1774533947972
1.69928571428571,-16.1672804587447
1.69942857142857,-16.1571033380598
1.69957142857143,-16.146921916132
1.69971428571429,-16.1367360752619
1.69985714285714,-16.1265456966454
1.7,-16.1163506603591
1.70014285714286,-16.106150845344
1.70028571428571,-16.0959461293898
1.70042857142857,-16.0857363891192
1.70057142857143,-16.0755214999709
1.70071428571429,-16.0653013361836
1.70085714285714,-16.0550757707785
1.701,-16.044844675543
1.70114285714286,-16.0346079210125
1.70128571428571,-16.0243653764531
1.70142857142857,-16.0141169098437
1.70157142857143,-16.0038623878577
1.70171428571429,-15.9936016758445
1.70185714285714,-15.9833346378106
1.702,-15.9730611364009
1.70214285714286,-15.9627810328785
1.70228571428571,-15.9524941871061
1.70242857142857,-15.9422004575248
1.70257142857143,-15.9318997011349
1.70271428571429,-15.9215917734742
1.70285714285714,-15.9112765285979
1.703,-15.9009538190565
1.70314285714286,-15.8906234958749
1.70328571428571,-15.8802854085297
1.70342857142857,-15.8699394049272
1.70357142857143,-15.8595853313807
1.70371428571429,-15.8492230325873
1.70385714285714,-15.8388523516041
1.704,-15.828473129825
1.70414285714286,-15.8180852069561
1.70428571428571,-15.807688420991
1.70442857142857,-15.7972826081858
1.70457142857143,-15.7868676030338
1.70471428571429,-15.7764432382396
1.70485714285714,-15.7660093446924
1.705,-15.7555657514401
1.70514285714286,-15.7451122856614
1.70528571428571,-15.7346487726382
1.70542857142857,-15.7241750357282
1.70557142857143,-15.7136908963358
1.70571428571429,-15.7031961738829
1.70585714285714,-15.6926906857799
1.706,-15.6821742473957
1.70614285714286,-15.6716466720268
1.70628571428571,-15.6611077708666
1.70642857142857,-15.6505573529736
1.70657142857143,-15.6399952252398
1.70671428571429,-15.6294211923578
1.70685714285714,-15.6188350567874
1.707,-15.6082366187225
1.70714285714286,-15.5976256760563
1.70728571428571,-15.5870020243466
1.70742857142857,-15.5763654567806
1.70757142857143,-15.5657157641384
1.70771428571429,-15.5550527347565
1.70785714285714,-15.5443761544906
1.708,-15.5336858066775
1.70814285714286,-15.5229814720965
1.70828571428571,-15.5122629289303
1.70842857142857,-15.5015299527248
1.70857142857143,-15.4907823163487
1.70871428571429,-15.4800197899521
1.70885714285714,-15.4692421409242
1.709,-15.4584491338508
1.70914285714286,-15.4476405304706
1.70928571428571,-15.4368160896311
1.70942857142857,-15.4259755672433
1.70957142857143,-15.4151187162359
1.70971428571429,-15.4042452865087
1.70985714285714,-15.3933550248851
1.71,-15.3824476750637
1.71014285714286,-15.3715229775692
1.71028571428571,-15.3605806697022
1.71042857142857,-15.3496204854887
1.71057142857143,-15.3386421556276
1.71071428571429,-15.3276454074385
1.71085714285714,-15.3166299648078
1.711,-15.3055955481342
1.71114285714286,-15.2945418742726
1.71128571428571,-15.2834686564781
1.71142857142857,-15.2723756043479
1.71157142857143,-15.2612624237629
1.71171428571429,-15.2501288168278
1.71185714285714,-15.2389744818106
1.712,-15.2277991130803
1.71214285714286,-15.216602401044
1.71228571428571,-15.2053840320832
1.71242857142857,-15.1941436884876
1.71257142857143,-15.1828810483897
1.71271428571429,-15.171595785696
1.71285714285714,-15.1602875700189
1.713,-15.1489560666061
1.71314285714286,-15.1376009362693
1.71328571428571,-15.1262218353113
1.71342857142857,-15.1148184154518
1.71357142857143,-15.1033903237525
1.71371428571429,-15.0919372025394
1.71385714285714,-15.0804586893254
1.714,-15.0689544167299
1.71414285714286,-15.057424012398
1.71428571428571,-15.0458670989178
1.71442857142857,-15.0342832937363
1.71457142857143,-15.0226722090736
1.71471428571429,-15.0110334518354
1.71485714285714,-14.9993666235243
1.715,-14.9876713201493
1.71514285714286,-14.9759471321333
1.71528571428571,-14.9641936442189
1.71542857142857,-14.9524104353737
1.71557142857143,-14.9405970786915
1.71571428571429,-14.9287531412939
1.71585714285714,-14.9168781842289
1.716,-14.9049717623676
1.71614285714286,-14.8930334242996
1.71628571428571,-14.881062712226
1.71642857142857,-14.8690591618501
1.71657142857143,-14.8570223022671
1.71671428571429,-14.8449516558506
1.71685714285714,-14.8328467381376
1.717,-14.8207070577111
1.71714285714286,-14.8085321160808
1.71728571428571,-14.7963214075613
1.71742857142857,-14.7840744191481
1.71757142857143,-14.7717906303911
1.71771428571429,-14.7594695132663
1.71785714285714,-14.7471105320442
1.718,-14.7347131431566
1.71814285714286,-14.7222767950604
1.71828571428571,-14.709800928099
1.71842857142857,-14.6972849743614
1.71857142857143,-14.6847283575376
1.71871428571429,-14.6721304927728
1.71885714285714,-14.6594907865179
1.719,-14.6468086363772
1.71914285714286,-14.6340834309538
1.71928571428571,-14.6213145496916
1.71942857142857,-14.6085013627148
1.71957142857143,-14.5956432306638
1.71971428571429,-14.5827395045285
1.71985714285714,-14.5697895254789
1.72,-14.5567926246915
1.72014285714286,-14.5437481231731
1.72028571428571,-14.5306553315818
1.72042857142857,-14.5175135500435
1.72057142857143,-14.5043220679661
1.72071428571429,-14.4910801638499
1.72085714285714,-14.4777871050946
1.721,-14.4644421478019
1.72114285714286,-14.4510445365767
1.72128571428571,-14.4375935043214
1.72142857142857,-14.42408827203
1.72157142857143,-14.4105280485758
1.72171428571429,-14.3969120304965
1.72185714285714,-14.3832394017751
1.722,-14.369509333617
1.72214285714286,-14.355720984223
1.72228571428571,-14.3418734985584
1.72242857142857,-14.327966008118
1.72257142857143,-14.3139976306866
1.72271428571429,-14.2999674700958
1.72285714285714,-14.2858746159763
1.723,-14.2717181435062
1.72314285714286,-14.2574971131544
1.72328571428571,-14.2432105704199
1.72342857142857,-14.2288575455671
1.72357142857143,-14.2144370533558
1.72371428571429,-14.1999480927674
1.72385714285714,-14.1853896467262
1.724,-14.1707606818159
1.72414285714286,-14.1560601479924
1.72428571428571,-14.1412869782905
1.72442857142857,-14.1264400885276
1.72457142857143,-14.1115183770009
1.72471428571429,-14.096520724182
1.72485714285714,-14.0814459924043
1.725,-14.0662930255483
1.72514285714286,-14.0510606487197
1.72528571428571,-14.035747667925
1.72542857142857,-14.0203528697403
1.72557142857143,-14.0048750209776
1.72571428571429,-13.9893128683441
1.72585714285714,-13.9736651380986
1.726,-13.9579305357032
1.72614285714286,-13.9421077454691
1.72628571428571,-13.9261954301996
1.72642857142857,-13.9101922308271
1.72657142857143,-13.8940967660478
1.72671428571429,-13.8779076319501
1.72685714285714,-13.8616234016403
1.727,-13.8452426248637
1.72714285714286,-13.8287638276217
1.72728571428571,-13.8121855117864
1.72742857142857,-13.7955061547101
1.72757142857143,-13.7787242088329
1.72771428571429,-13.761838101286
1.72785714285714,-13.7448462334937
1.728,-13.7277469807711
1.72814285714286,-13.7105386919212
1.72828571428571,-13.6932196888284
1.72842857142857,-13.6757882660525
1.72857142857143,-13.6582426904193
1.72871428571429,-13.6405812006114
1.72885714285714,-13.6228020067598
1.729,-13.6049032900332
1.72914285714286,-13.5868832022299
1.72928571428571,-13.5687398653706
1.72942857142857,-13.5504713712925
1.72957142857143,-13.5320757812463
1.72971428571429,-13.5135511254968
1.72985714285714,-13.4948954029271
1.73,-13.4761065806475
1.73014285714286,-13.457182593611
1.73028571428571,-13.4381213442354
1.73042857142857,-13.418920702032
1.73057142857143,-13.3995785032451
1.73071428571429,-13.3800925505004
1.73085714285714,-13.3604606124652
1.731,-13.3406804235219
1.73114285714286,-13.3207496834545
1.73128571428571,-13.3006660571533
1.73142857142857,-13.2804271743348
1.73157142857143,-13.2600306292823
1.73171428571429,-13.2394739806085
1.73185714285714,-13.2187547510402
1.732,-13.1978704272298
1.73214285714286,-13.1768184595945
1.73228571428571,-13.1555962621866
1.73242857142857,-13.1342012125968
1.73257142857143,-13.1126306518939
1.73271428571429,-13.0908818846046
1.73285714285714,-13.0689521787347
1.733,-13.0468387658385
1.73314285714286,-13.0245388411369
1.73328571428571,-13.0020495636898
1.73342857142857,-12.9793680566268
1.73357142857143,-12.9564914074423
1.73371428571429,-12.933416668356
1.73385714285714,-12.9101408567488
1.734,-12.886660955675
1.73414285714286,-12.8629739144612
1.73428571428571,-12.8390766493937
1.73442857142857,-12.8149660445042
1.73457142857143,-12.7906389524605
1.73471428571429,-12.7660921955669
1.73485714285714,-12.7413225668868
1.735,-12.7163268314923
1.73514285714286,-12.6911017278511
1.73528571428571,-12.6656439693599
1.73542857142857,-12.6399502460363
1.73557142857143,-12.6140172263764
1.73571428571429,-12.5878415593929
1.73585714285714,-12.5614198768439
1.736,-12.5347487956656
1.73614285714286,-12.5078249206233
1.73628571428571,-12.4806448471934
1.73642857142857,-12.4532051646939
1.73657142857143,-12.4255024596771
1.73671428571429,-12.3975333196033
1.73685714285714,-12.3692943368135
1.737,-12.3407821128182
1.73714285714286,-12.3119932629252
1.73728571428571,-12.2829244212257
1.73742857142857,-12.2535722459622
1.73757142857143,-12.2239334252998
1.73771428571429,-12.1940046835295
1.73785714285714,-12.1637827877262
1.738,-12.1332645548898
1.73814285714286,-12.1024468596004
1.73828571428571,-12.0713266422149
1.73842857142857,-12.0399009176393
1.73857142857143,-12.0081667847092
1.73871428571429,-11.9761214362132
1.73885714285714,-11.943762169597
1.739,-11.9110863983845
1.73914285714286,-11.8780916643578
1.73928571428571,-11.8447756505365
1.73942857142857,-11.8111361949992
1.73957142857143,-11.7771713055925
1.73971428571429,-11.7428791755744
1.73985714285714,-11.7082582002373
1.74,-11.6733069945649
1.74014285714286,-11.6380244119667
1.74028571428571,-11.6024095641501
1.74042857142857,-11.5664618421753
1.74057142857143,-11.5301809387532
1.74071428571429,-11.4935668718371
1.74085714285714,-11.4566200095648
1.741,-11.4193410966058
1.74114285714286,-11.381731281969
1.74128571428571,-11.3437921483243
1.74142857142857,-11.3055257428919
1.74157142857143,-11.2669346099501
1.74171428571429,-11.2280218250099
1.74185714285714,-11.1887910307035
1.742,-11.1492464744265
1.74214285714286,-11.1093930477718
1.74228571428571,-11.0692363277844
1.74242857142857,-11.0287826200627
1.74257142857143,-10.9880390037166
1.74271428571429,-10.947013378192
1.74285714285714,-10.9057145119506
1.743,-10.8641520929861
1.74314285714286,-10.8223367811392
1.74328571428571,-10.7802802621581
1.74342857142857,-10.7379953034298
1.74357142857143,-10.6954958112846
1.74371428571429,-10.6527968897537
1.74385714285714,-10.6099149006258
1.744,-10.5668675246242
1.74414285714286,-10.5236738234857
1.74428571428571,-10.4803543026876
1.74442857142857,-10.4369309745276
1.74457142857143,-10.3934274212139
1.74471428571429,-10.3498688575781
1.74485714285714,-10.3062821929676
1.745,-10.262696091823
1.74514285714286,-10.2191410323819
1.74528571428571,-10.1756493628952
1.74542857142857,-10.1322553546713
1.74557142857143,-10.0889952512044
1.74571428571429,-10.0459073125703
1.74585714285714,-10.0030318542085
1.746,-9.96041127914219
1.74614285714286,-9.91809010262281
1.74628571428571,-9.87611496812523
1.74642857142857,-9.8345346535615
1.74657142857143,-9.79340006653512
1.74671428571429,-9.75276422741766
1.74685714285714,-9.71268223899999
1.747,-9.67321124145959
1.74714285714286,-9.634410351386
1.74728571428571,-9.59634058363323
1.74742857142857,-9.55906475481217
1.74757142857143,-9.52264736730616
1.74771428571429,-9.48715447279684
1.74785714285714,-9.45265351441439
1.748,-9.41921314679057
1.74814285714286,-9.38690303349165
1.74828571428571,-9.35579362154117
1.74842857142857,-9.32595589301024
1.74857142857143,-9.297461093953
1.74871428571429,-9.27038044131048
1.74885714285714,-9.24478480875654
1.749,-9.22074439285903
1.74914285714286,-9.19832836133497
1.74928571428571,-9.17760448559646
1.74942857142857,-9.1586387602061
1.74957142857143,-9.14149501227553
1.74971428571429,-9.12623450423993
1.74985714285714,-9.11291553380057
1.75,-9.10159303515696
1.75014285714286,-9.09231818591757
1.75028571428571,-9.08513802428114
1.75042857142857,-9.0800950812031
1.75057142857143,-9.07722703231219
1.75071428571429,-9.07656637427196
1.75085714285714,-9.07814013015038
1.751,-9.08196958809092
1.75114285714286,-9.08807007724405
1.75128571428571,-9.09645078446037
1.75142857142857,-9.10711461472507
1.75157142857143,-9.12005809770633
1.75171428571429,-9.13527134211345
1.75185714285714,-9.15273803886086
1.752,-9.17243551327955
1.75214285714286,-9.19433482587759
1.75228571428571,-9.21840092040634
1.75242857142857,-9.24459281728063
1.75257142857143,-9.2728638497459
1.75271428571429,-9.30316193957508
1.75285714285714,-9.3354299085725
1.753,-9.36960582171712
1.75314285714286,-9.40562335745126
1.75328571428571,-9.44341220037838
1.75342857142857,-9.48289845150058
1.75357142857143,-9.52400505109367
1.75371428571429,-9.5666522093709
1.75385714285714,-9.6107578402347
1.754,-9.65623799363711
1.75414285714286,-9.70300728235898
1.75428571428571,-9.75097929935375
1.75442857142857,-9.80006702219686
1.75457142857143,-9.85018320158795
1.75471428571429,-9.90124073128314
1.75485714285714,-9.95315299728004
1.755,-10.0058342045035
1.75514285714286,-10.0591996796684
1.75528571428571,-10.113166149396
1.75542857142857,-10.1676519930317
1.75557142857143,-10.2225774699657
1.75571428571429,-10.2778649215636
1.75585714285714,-10.3334389480923
1.756,-10.389226561268
1.75614285714286,-10.4451573132527
1.75628571428571,-10.5011634030984
1.75642857142857,-10.5571797617691
1.75657142857143,-10.6131441169757
1.75671428571429,-10.6689970391312
1.75685714285714,-10.7246819697827
1.757,-10.7801452339004
1.75714285714286,-10.8353360374068
1.75728571428571,-10.8902064513172
1.75742857142857,-10.9447113838308
1.75757142857143,-10.9988085416767
1.75771428571429,-11.0524583819598
1.75785714285714,-11.1056240557018
1.758,-11.1582713442027
1.75814285714286,-11.2103685892837
1.75828571428571,-11.2618866183994
1.75842857142857,-11.3127986655383
1.75857142857143,-11.3630802887581
1.75871428571429,-11.4127092851321
1.75885714285714,-11.4616656038141
1.759,-11.5099312578639
1.75914285714286,-11.5574902354105
1.75928571428571,-11.6043284106712
1.75942857142857,-11.6504334552847
1.75957142857143,-11.6957947503683
1.75971428571429,-11.7404032996518
1.75985714285714,-11.7842516439986
1.76,-11.8273337775832
1.76014285714286,-11.8696450659477
1.76028571428571,-11.9111821661311
1.76042857142857,-11.9519429490275
1.76057142857143,-11.9919264240996
1.76071428571429,-12.0311326665499
1.76085714285714,-12.0695627470218
1.761,-12.1072186638876
1.76114285714286,-12.144103278154
1.76128571428571,-12.1802202510045
1.76142857142857,-12.2155739839768
1.76157142857143,-12.2501695617669
1.76171428571429,-12.2840126976309
1.76185714285714,-12.3171096813542
1.762,-12.3494673297433
1.76214285714286,-12.3810929395894
1.76228571428571,-12.4119942430482
1.76242857142857,-12.4421793653723
1.76257142857143,-12.4716567849328
1.76271428571429,-12.5004352954568
1.76285714285714,-12.528523970412
1.763,-12.5559321294626
1.76314285714286,-12.5826693069221
1.76328571428571,-12.6087452221262
1.76342857142857,-12.6341697516502
1.76357142857143,-12.6589529032949
1.76371428571429,-12.6831047917647
1.76385714285714,-12.7066356159636
1.764,-12.7295556378362
1.76414285714286,-12.7518751626801
1.76428571428571,-12.7736045208598
1.76442857142857,-12.794754050853
1.76457142857143,-12.8153340835624
1.76471428571429,-12.8353549278272
1.76485714285714,-12.8548268570706
1.765,-12.873760097025
1.76514285714286,-12.892164814471
1.76528571428571,-12.910051106939
1.76542857142857,-12.9274289933137
1.76557142857143,-12.944308405293
1.76571428571429,-12.9606991796477
1.76585714285714,-12.9766110512367
1.766,-12.9920536467292
1.76614285714286,-13.0070364789917
1.76628571428571,-13.0215689420967
1.76642857142857,-13.0356603069131
1.76657142857143,-13.0493197172416
1.76671428571429,-13.0625561864572
1.76685714285714,-13.0753785946253
1.767,-13.0877956860592
1.76714285714286,-13.0998160672868
1.76728571428571,-13.111448205399
1.76742857142857,-13.1227004267507
1.76757142857143,-13.1335809159892
1.76771428571429,-13.1440977153848
1.76785714285714,-13.1542587244405
1.768,-13.1640716997594
1.76814285714286,-13.1735442551478
1.76828571428571,-13.1826838619366
1.76842857142857,-13.1914978495007
1.76857142857143,-13.1999934059605
1.76871428571429,-13.2081775790496
1.76885714285714,-13.2160572771325
1.769,-13.2236392703593
1.76914285714286,-13.2309301919436
1.76928571428571,-13.2379365395516
1.76942857142857,-13.2446646767905
1.76957142857143,-13.2511208347855
1.76971428571429,-13.2573111138365
1.76985714285714,-13.2632414851426
1.77,-13.2689177925888
1.77014285714286,-13.2743457545845
1.77028571428571,-13.2795309659475
1.77042857142857,-13.2844788998261
1.77057142857143,-13.2891949096528
1.77071428571429,-13.2936842311242
1.77085714285714,-13.297951984201
1.771,-13.3020031751234
1.77114285714286,-13.305842698437
1.77128571428571,-13.3094753390248
1.77142857142857,-13.3129057741422
