"Freq [GHz]","dB(St(feedline_T2,feedline_T1)) []"
1.2,-0.403852691490543
1.202,-0.401449218553623
1.204,-0.399044404937418
1.206,-0.396638392392833
1.208,-0.394231324166652
1.21,-0.391823344990314
1.212,-0.389414601068331
1.214,-0.387005240066487
1.216,-0.384595411099641
1.218,-0.382185264719308
1.22,-0.379774952900998
1.222,-0.377364629031221
1.224,-0.374954447894276
1.226,-0.372544565658806
1.228,-0.370135139864121
1.23,-0.367726329406248
1.232,-0.365318294523812
1.234,-0.362911196783687
1.236,-0.360505199066441
1.238,-0.358100465551591
1.24,-0.355697161702649
1.242,-0.353295454252008
1.244,-0.350895511185627
1.246,-0.348497501727563
1.248,-0.346101596324327
1.25,-0.343707966629068
1.252,-0.341316785485632
1.254,-0.338928226912423
1.256,-0.336542466086149
1.258,-0.334159679325444
1.26,-0.331780044074299
1.262,-0.329403738885393
1.264,-0.327030943403294
1.266,-0.324661838347522
1.268,-0.322296605495517
1.27,-0.319935427665441
1.272,-0.317578488698901
1.274,-0.315225973443557
1.276,-0.312878067735597
1.278,-0.310534958382152
1.28,-0.308196833143546
1.282,-0.3058638807155
1.284,-0.303536290711223
1.286,-0.301214253643365
1.288,-0.298897960905964
1.29,-0.296587604756233
1.292,-0.294283378296278
1.294,-0.291985475454718
1.296,-0.289694090968303
1.298,-0.287409420363306
1.3,-0.285131659936991
1.302,-0.28286100673888
1.304,-0.280597658552034
1.306,-0.278341813874217
1.308,-0.27609367189902
1.31,-0.273853432496877
1.312,-0.271621296196059
1.314,-0.269397464163586
1.316,-0.267182138186083
1.318,-0.264975520650585
1.32,-0.262777814525259
1.322,-0.260589223340127
1.324,-0.258409951167671
1.326,-0.256240202603454
1.328,-0.254080182746643
1.33,-0.251930097180536
1.332,-0.249790151952994
1.334,-0.247660553556914
1.336,-0.245541508910583
1.338,-0.243433225338027
1.34,-0.241335910549409
1.342,-0.239249772621253
1.344,-0.237175019976781
1.346,-0.235111861366162
1.348,-0.233060505846751
1.35,-0.231021162763348
1.352,-0.228994041728388
1.354,-0.226979352602232
1.356,-0.224977305473318
1.358,-0.222988110638419
1.36,-0.2210119785829
1.362,-0.21904911996091
1.364,-0.217099745575715
1.366,-0.215164066359939
1.368,-0.213242293355882
1.37,-0.211334637695889
1.372,-0.209441310582707
1.374,-0.207562523269939
1.376,-0.205698487042512
1.378,-0.203849413197197
1.38,-0.202015513023242
1.382,-0.200196997782991
1.384,-0.198394078692669
1.386,-0.196606966903173
1.388,-0.194835873481018
1.39,-0.193081009389357
1.392,-0.191342585469063
1.394,-0.189620812420007
1.396,-0.187915900782419
1.398,-0.186228060918398
1.4,-0.184557502993521
1.402,-0.182904436958687
1.404,-0.181269072532075
1.406,-0.179651619181254
1.408,-0.17805228610558
1.41,-0.176471282218656
1.412,-0.174908816131167
1.414,-0.173365096133766
1.416,-0.171840330180368
1.418,-0.170334725871573
1.42,-0.168848490438434
1.422,-0.167381830726486
1.424,-0.165934953180083
1.426,-0.164508063827043
1.428,-0.163101368263673
1.43,-0.161715071640092
1.432,-0.160349378645976
1.434,-0.15900449349672
1.436,-0.157680619919965
1.438,-0.15637796114259
1.44,-0.155096719878208
1.442,-0.15383709831515
1.444,-0.152599298104899
1.446,-0.151383520351169
1.448,-0.1501899655995
1.45,-0.149018833827492
1.452,-0.147870324435678
1.454,-0.146744636239075
1.456,-0.145641967459403
1.458,-0.14456251571814
1.46,-0.143506478030316
1.462,-0.142474050799116
1.464,-0.141465429811421
1.466,-0.140480810234222
1.468,-0.139520386612061
1.47,-0.138584352865431
1.472,-0.13767290229031
1.474,-0.136786227558846
1.476,-0.135924520721169
1.478,-0.135087973208557
1.48,-0.134276775837909
1.482,-0.133491118817615
1.484,-0.132731191754893
1.486,-0.131997183664808
1.488,-0.131289282980818
1.49,-0.130607677567149
1.492,-0.129952554733039
1.494,-0.129324101248845
1.496,-0.128722503364367
1.498,-0.128147946829271
1.5,-0.127600616915823
1.502,-0.127080698444135
1.504,-0.126588375810019
1.506,-0.126123833015532
1.508,-0.125687253702531
1.51,-0.125278821189261
1.512,-0.124898718510318
1.514,-0.124547128460023
1.516,-0.124224233639618
1.518,-0.123930216508299
1.52,-0.123665259438559
1.522,-0.123429544775962
1.524,-0.123223254903675
1.526,-0.123046572312106
1.528,-0.12289967967396
1.53,-0.12278275992504
1.532,-0.122695996351273
1.534,-0.122639572682306
1.536,-0.122613673192122
1.538,-0.122618482807246
1.54,-0.122654187222987
1.542,-0.122720973028389
1.544,-0.12281902784037
1.546,-0.122948540447866
1.548,-0.123109700966669
1.55,-0.123302701005718
1.552,-0.123527733845735
1.554,-0.123784994631175
1.556,-0.124074680576475
1.558,-0.124396991187714
1.56,-0.124752128500984
1.562,-0.125140297338668
1.564,-0.125561705585216
1.566,-0.126016564483874
1.568,-0.126505088956269
1.57,-0.127027497946586
1.572,-0.127584014792567
1.574,-0.128174867625534
1.576,-0.128800289802049
1.578,-0.129460520369912
1.58,-0.13015580457163
1.582,-0.130886394388673
1.584,-0.131652549130343
1.586,-0.132454536071289
1.588,-0.133292631142266
1.59,-0.13416711967928
1.592,-0.135078297236608
1.594,-0.136026470470072
1.596,-0.137011958097417
1.598,-0.138035091943625
1.6,-0.139096218079732
1.60014285714286,-0.139173476043239
1.60028571428571,-0.139250929817454
1.60042857142857,-0.139328579537744
1.60057142857143,-0.139406425339911
1.60071428571429,-0.13948446736021
1.60085714285714,-0.139562705735343
1.601,-0.139641140602467
1.60114285714286,-0.139719772099185
1.60128571428571,-0.13979860036356
1.60142857142857,-0.139877625534117
1.60157142857143,-0.139956847749833
1.60171428571429,-0.14003626715017
1.60185714285714,-0.140115883875044
1.602,-0.140195698064847
1.60214285714286,-0.140275709860431
1.60228571428571,-0.140355919403143
1.60242857142857,-0.140436326834797
1.60257142857143,-0.140516932297705
1.60271428571429,-0.140597735934639
1.60285714285714,-0.140678737888885
1.603,-0.140759938304198
1.60314285714286,-0.140841337324842
1.60328571428571,-0.14092293509557
1.60342857142857,-0.141004731761647
1.60357142857143,-0.141086727468817
1.60371428571429,-0.14116892236336
1.60385714285714,-0.141251316592044
1.604,-0.141333910302158
1.60414285714286,-0.141416703641509
1.60428571428571,-0.141499696758409
1.60442857142857,-0.141582889801704
1.60457142857143,-0.141666282920761
1.60471428571429,-0.141749876265488
1.60485714285714,-0.141833669986287
1.605,-0.141917664234149
1.60514285714286,-0.142001859160553
1.60528571428571,-0.142086254917543
1.60542857142857,-0.142170851657715
1.60557142857143,-0.142255649534193
1.60571428571429,-0.142340648700669
1.60585714285714,-0.142425849311376
1.606,-0.142511251521103
1.60614285714286,-0.142596855485228
1.60628571428571,-0.142682661359657
1.60642857142857,-0.142768669300885
1.60657142857143,-0.142854879465981
1.60671428571429,-0.142941292012575
1.60685714285714,-0.14302790709889
1.607,-0.143114724883726
1.60714285714286,-0.143201745526461
1.60728571428571,-0.143288969187074
1.60742857142857,-0.143376396026132
1.60757142857143,-0.143464026204804
1.60771428571429,-0.143551859884849
1.60785714285714,-0.143639897228635
1.608,-0.143728138399149
1.60814285714286,-0.143816583559965
1.60828571428571,-0.1439052328753
1.60842857142857,-0.143994086509974
1.60857142857143,-0.144083144629425
1.60871428571429,-0.144172407399737
1.60885714285714,-0.144261874987615
1.609,-0.144351547560392
1.60914285714286,-0.144441425286043
1.60928571428571,-0.14453150833319
1.60942857142857,-0.144621796871109
1.60957142857143,-0.144712291069701
1.60971428571429,-0.144802991099555
1.60985714285714,-0.14489389713188
1.61,-0.144985009338591
1.61014285714286,-0.145076327892234
1.61028571428571,-0.145167852966054
1.61042857142857,-0.145259584733943
1.61057142857143,-0.14535152337049
1.61071428571429,-0.145443669050969
1.61085714285714,-0.145536021951336
1.611,-0.145628582248243
1.61114285714286,-0.145721350119028
1.61128571428571,-0.145814325741747
1.61142857142857,-0.14590750929515
1.61157142857143,-0.146000900958693
1.61171428571429,-0.146094500912562
1.61185714285714,-0.146188309337642
1.612,-0.146282326415566
1.61214285714286,-0.146376552328661
1.61228571428571,-0.146470987260015
1.61242857142857,-0.14656563139344
1.61257142857143,-0.146660484913494
1.61271428571429,-0.146755548005483
1.61285714285714,-0.146850820855452
1.613,-0.14694630365021
1.61314285714286,-0.147041996577333
1.61328571428571,-0.147137899825152
1.61342857142857,-0.147234013582768
1.61357142857143,-0.147330338040066
1.61371428571429,-0.147426873387695
1.61385714285714,-0.147523619817102
1.614,-0.147620577520527
1.61414285714286,-0.147717746690982
1.61428571428571,-0.147815127522303
1.61442857142857,-0.147912720209124
1.61457142857143,-0.148010524946876
1.61471428571429,-0.148108541931827
1.61485714285714,-0.148206771361043
1.615,-0.148305213432432
1.61514285714286,-0.148403868344716
1.61528571428571,-0.148502736297472
1.61542857142857,-0.148601817491107
1.61557142857143,-0.148701112126873
1.61571428571429,-0.148800620406872
1.61585714285714,-0.148900342534085
1.616,-0.149000278712328
1.61614285714286,-0.149100429146289
1.61628571428571,-0.149200794041547
1.61642857142857,-0.149301373604558
1.61657142857143,-0.149402168042641
1.61671428571429,-0.149503177564024
1.61685714285714,-0.149604402377831
1.617,-0.149705842694089
1.61714285714286,-0.149807498723717
1.61728571428571,-0.149909370678573
1.61742857142857,-0.150011458771416
1.61757142857143,-0.150113763215936
1.61771428571429,-0.150216284226754
1.61785714285714,-0.150319022019436
1.618,-0.150421976810479
1.61814285714286,-0.150525148817341
1.61828571428571,-0.15062853825842
1.61842857142857,-0.150732145353093
1.61857142857143,-0.150835970321708
1.61871428571429,-0.15094001338557
1.61885714285714,-0.151044274766969
1.619,-0.151148754689194
1.61914285714286,-0.151253453376532
1.61928571428571,-0.151358371054235
1.61942857142857,-0.1514635079486
1.61957142857143,-0.151568864286911
1.61971428571429,-0.151674440297497
1.61985714285714,-0.151780236209692
1.62,-0.151886252253868
1.62014285714286,-0.151992488661446
1.62028571428571,-0.152098945664883
1.62042857142857,-0.152205623497693
1.62057142857143,-0.152312522394449
1.62071428571429,-0.152419642590801
1.62085714285714,-0.152526984323454
1.621,-0.15263454783021
1.62114285714286,-0.152742333349964
1.62128571428571,-0.152850341122677
1.62142857142857,-0.152958571389451
1.62157142857143,-0.153067024392474
1.62171428571429,-0.153175700375051
1.62185714285714,-0.153284599581634
1.622,-0.153393722257774
1.62214285714286,-0.153503068650187
1.62228571428571,-0.15361263900673
1.62242857142857,-0.153722433576405
1.62257142857143,-0.153832452609388
1.62271428571429,-0.15394269635702
1.62285714285714,-0.154053165071819
1.623,-0.154163859007499
1.62314285714286,-0.154274778418939
1.62328571428571,-0.154385923562259
1.62342857142857,-0.154497294694758
1.62357142857143,-0.154608892074962
1.62371428571429,-0.154720715962626
1.62385714285714,-0.154832766618731
1.624,-0.15494504430551
1.62414285714286,-0.155057549286442
1.62428571428571,-0.155170281826252
1.62442857142857,-0.155283242190957
1.62457142857143,-0.155396430647821
1.62471428571429,-0.155509847465424
1.62485714285714,-0.155623492913601
1.625,-0.155737367263526
1.62514285714286,-0.15585147078766
1.62528571428571,-0.155965803759784
1.62542857142857,-0.156080366455014
1.62557142857143,-0.15619515914979
1.62571428571429,-0.156310182121926
1.62585714285714,-0.156425435650561
1.626,-0.156540920016211
1.62614285714286,-0.156656635500764
1.62628571428571,-0.15677258238748
1.62642857142857,-0.156888760961033
1.62657142857143,-0.157005171507478
1.62671428571429,-0.157121814314288
1.62685714285714,-0.157238689670369
1.627,-0.157355797866026
1.62714285714286,-0.157473139193031
1.62728571428571,-0.157590713944596
1.62742857142857,-0.157708522415388
1.62757142857143,-0.157826564901555
1.62771428571429,-0.157944841700716
1.62785714285714,-0.158063353111978
1.628,-0.158182099435955
1.62814285714286,-0.15830108097476
1.62828571428571,-0.158420298032037
1.62842857142857,-0.158539750912957
1.62857142857143,-0.158659439924235
1.62871428571429,-0.158779365374124
1.62885714285714,-0.158899527572466
1.629,-0.159019926830646
1.62914285714286,-0.159140563461651
1.62928571428571,-0.159261437780065
1.62942857142857,-0.159382550102063
1.62957142857143,-0.159503900745458
1.62971428571429,-0.159625490029672
1.62985714285714,-0.159747318275781
1.63,-0.1598693858065
1.63014285714286,-0.159991692946213
1.63028571428571,-0.16011424002098
1.63042857142857,-0.160237027358544
1.63057142857143,-0.160360055288343
1.63071428571429,-0.160483324141524
1.63085714285714,-0.160606834250965
1.631,-0.160730585951265
1.63114285714286,-0.160854579578775
1.63128571428571,-0.160978815471601
1.63142857142857,-0.161103293969616
1.63157142857143,-0.161228015414485
1.63171428571429,-0.161352980149657
1.63185714285714,-0.161478188520392
1.632,-0.16160364087377
1.63214285714286,-0.16172933755872
1.63228571428571,-0.161855278925972
1.63242857142857,-0.161981465328168
1.63257142857143,-0.16210789711979
1.63271428571429,-0.162234574657212
1.63285714285714,-0.162361498298717
1.633,-0.162488668404472
1.63314285714286,-0.162616085336607
1.63328571428571,-0.162743749459158
1.63342857142857,-0.162871661138139
1.63357142857143,-0.162999820741515
1.63371428571429,-0.163128228639226
1.63385714285714,-0.163256885203238
1.634,-0.163385790807493
1.63414285714286,-0.163514945827975
1.63428571428571,-0.163644350642688
1.63442857142857,-0.16377400563172
1.63457142857143,-0.163903911177191
1.63471428571429,-0.164034067663321
1.63485714285714,-0.164164475476439
1.635,-0.164295135004954
1.63514285714286,-0.16442604663943
1.63528571428571,-0.164557210772564
1.63542857142857,-0.164688627799209
1.63557142857143,-0.164820298116392
1.63571428571429,-0.164952222123332
1.63585714285714,-0.165084400221464
1.636,-0.165216832814408
1.63614285714286,-0.165349520308066
1.63628571428571,-0.165482463110568
1.63642857142857,-0.165615661632319
1.63657142857143,-0.165749116286007
1.63671428571429,-0.165882827486627
1.63685714285714,-0.166016795651498
1.637,-0.166151021200266
1.63714285714286,-0.166285504554941
1.63728571428571,-0.166420246139893
1.63742857142857,-0.166555246381885
1.63757142857143,-0.166690505710091
1.63771428571429,-0.166826024556108
1.63785714285714,-0.166961803353966
1.638,-0.167097842540157
1.63814285714286,-0.167234142553656
1.63828571428571,-0.167370703835933
1.63842857142857,-0.167507526830965
1.63857142857143,-0.167644611985261
1.63871428571429,-0.167781959747899
1.63885714285714,-0.167919570570502
1.639,-0.168057444907298
1.63914285714286,-0.168195583215123
1.63928571428571,-0.168333985953443
1.63942857142857,-0.168472653584354
1.63957142857143,-0.168611586572641
1.63971428571429,-0.168750785385767
1.63985714285714,-0.168890250493897
1.64,-0.169029982369926
1.64014285714286,-0.169169981489512
1.64028571428571,-0.169310248331056
1.64042857142857,-0.169450783375761
1.64057142857143,-0.169591587107641
1.64071428571429,-0.169732660013542
1.64085714285714,-0.169874002583157
1.641,-0.170015615309057
1.64114285714286,-0.170157498686704
1.64128571428571,-0.170299653214489
1.64142857142857,-0.170442079393722
1.64157142857143,-0.170584777728692
1.64171428571429,-0.170727748726676
1.64185714285714,-0.170870992897934
1.642,-0.171014510755781
1.64214285714286,-0.171158302816569
1.64228571428571,-0.171302369599731
1.64242857142857,-0.171446711627798
1.64257142857143,-0.171591329426428
1.64271428571429,-0.171736223524433
1.64285714285714,-0.171881394453766
1.643,-0.172026842749612
1.64314285714286,-0.172172568950353
1.64328571428571,-0.172318573597623
1.64342857142857,-0.172464857236321
1.64357142857143,-0.172611420414648
1.64371428571429,-0.172758263684118
1.64385714285714,-0.172905387599596
1.644,-0.173052792719317
1.64414285714286,-0.173200479604905
1.64428571428571,-0.173348448821423
1.64442857142857,-0.173496700937376
1.64457142857143,-0.173645236524738
1.64471428571429,-0.173794056159002
1.64485714285714,-0.173943160419187
1.645,-0.174092549887871
1.64514285714286,-0.174242225151215
1.64528571428571,-0.174392186799
1.64542857142857,-0.174542435424641
1.64557142857143,-0.174692971625243
1.64571428571429,-0.174843796001593
1.64585714285714,-0.174994909158206
1.646,-0.175146311703384
1.64614285714286,-0.175298004249175
1.64628571428571,-0.175449987411478
1.64642857142857,-0.17560226181003
1.64657142857143,-0.17575482806844
1.64671428571429,-0.175907686814244
1.64685714285714,-0.176060838678891
1.647,-0.176214284297827
1.64714285714286,-0.17636802431049
1.64728571428571,-0.176522059360355
1.64742857142857,-0.176676390094959
1.64757142857143,-0.176831017165948
1.64771428571429,-0.176985941229092
1.64785714285714,-0.17714116294432
1.648,-0.177296682975784
1.64814285714286,-0.177452501991847
1.64828571428571,-0.177608620665144
1.64842857142857,-0.177765039672604
1.64857142857143,-0.177921759695498
1.64871428571429,-0.178078781419487
1.64885714285714,-0.178236105534584
1.649,-0.178393732735294
1.64914285714286,-0.178551663720578
1.64928571428571,-0.178709899193908
1.64942857142857,-0.17886843986331
1.64957142857143,-0.179027286441401
1.64971428571429,-0.179186439645413
1.64985714285714,-0.179345900197227
1.65,-0.179505668823462
1.65014285714286,-0.179665746255441
1.65028571428571,-0.179826133229275
1.65042857142857,-0.179986830485889
1.65057142857143,-0.18014783877106
1.65071428571429,-0.180309158835467
1.65085714285714,-0.180470791434721
1.651,-0.180632737329403
1.65114285714286,-0.180794997285115
1.65128571428571,-0.180957572072526
1.65142857142857,-0.181120462467388
1.65157142857143,-0.181283669250602
1.65171428571429,-0.181447193208256
1.65185714285714,-0.181611035131665
1.652,-0.181775195817415
1.65214285714286,-0.181939676067404
1.65228571428571,-0.182104476688889
1.65242857142857,-0.182269598494537
1.65257142857143,-0.182435042302451
1.65271428571429,-0.182600808936245
1.65285714285714,-0.182766899225064
1.653,-0.18293331400364
1.65314285714286,-0.183100054112339
1.65328571428571,-0.183267120397208
1.65342857142857,-0.183434513710024
1.65357142857143,-0.183602234908349
1.65371428571429,-0.183770284855557
1.65385714285714,-0.183938664420907
1.654,-0.184107374479585
1.65414285714286,-0.184276415912736
1.65428571428571,-0.18444578960756
1.65442857142857,-0.184615496457301
1.65457142857143,-0.184785537361355
1.65471428571429,-0.184955913225299
1.65485714285714,-0.185126624960941
1.655,-0.185297673486354
1.65514285714286,-0.185469059725998
1.65528571428571,-0.18564078461069
1.65542857142857,-0.185812849077712
1.65557142857143,-0.185985254070854
1.65571428571429,-0.186158000540465
1.65585714285714,-0.186331089443512
1.656,-0.186504521743649
1.65614285714286,-0.186678298411249
1.65628571428571,-0.186852420423474
1.65642857142857,-0.187026888764367
1.65657142857143,-0.187201704424841
1.65671428571429,-0.187376868402805
1.65685714285714,-0.187552381703201
1.657,-0.187728245338051
1.65714285714286,-0.187904460326539
1.65728571428571,-0.188081027695066
1.65742857142857,-0.188257948477316
1.65757142857143,-0.188435223714304
1.65771428571429,-0.188612854454479
1.65785714285714,-0.188790841753743
1.658,-0.188969186675546
1.65814285714286,-0.189147890290945
1.65828571428571,-0.189326953678676
1.65842857142857,-0.189506377925204
1.65857142857143,-0.18968616412482
1.65871428571429,-0.189866313379683
1.65885714285714,-0.190046826799912
1.659,-0.190227705503637
1.65914285714286,-0.190408950617096
1.65928571428571,-0.190590563274674
1.65942857142857,-0.190772544619002
1.65957142857143,-0.190954895801029
1.65971428571429,-0.191137617980084
1.65985714285714,-0.191320712323952
1.66,-0.191504180008971
1.66014285714286,-0.191688022220081
1.66028571428571,-0.191872240150924
1.66042857142857,-0.192056835003907
1.66057142857143,-0.19224180799029
1.66071428571429,-0.192427160330269
1.66085714285714,-0.192612893253038
1.661,-0.192799007996906
1.66114285714286,-0.192985505809346
1.66128571428571,-0.193172387947092
1.66142857142857,-0.193359655676228
1.66157142857143,-0.193547310272272
1.66171428571429,-0.193735353020246
1.66185714285714,-0.193923785214793
1.662,-0.194112608160247
1.66214285714286,-0.194301823170713
1.66228571428571,-0.19449143157018
1.66242857142857,-0.1946814346926
1.66257142857143,-0.194871833881984
1.66271428571429,-0.19506263049248
1.66285714285714,-0.195253825888493
1.663,-0.195445421444763
1.66314285714286,-0.195637418546466
1.66328571428571,-0.195829818589315
1.66342857142857,-0.196022622979648
1.66357142857143,-0.196215833134532
1.66371428571429,-0.196409450481875
1.66385714285714,-0.196603476460507
1.664,-0.196797912520302
1.66414285714286,-0.196992760122267
1.66428571428571,-0.197188020738667
1.66442857142857,-0.197383695853106
1.66457142857143,-0.197579786960653
1.66471428571429,-0.197776295567937
1.66485714285714,-0.197973223193265
1.665,-0.198170571366739
1.66514285714286,-0.198368341630364
1.66528571428571,-0.198566535538147
1.66542857142857,-0.198765154656228
1.66557142857143,-0.198964200562989
1.66571428571429,-0.199163674849187
1.66585714285714,-0.199363579118048
1.666,-0.199563914985394
1.66614285714286,-0.199764684079789
1.66628571428571,-0.199965888042628
1.66642857142857,-0.200167528528268
1.66657142857143,-0.200369607204173
1.66671428571429,-0.200572125751029
1.66685714285714,-0.200775085862869
1.667,-0.200978489247197
1.66714285714286,-0.201182337625141
1.66728571428571,-0.201386632731575
1.66742857142857,-0.201591376315239
1.66757142857143,-0.201796570138889
1.66771428571429,-0.202002215979446
1.66785714285714,-0.202208315628108
1.668,-0.20241487089051
1.66814285714286,-0.202621883586865
1.66828571428571,-0.202829355552088
1.66842857142857,-0.203037288635983
1.66857142857143,-0.203245684703335
1.66871428571429,-0.203454545634121
1.66885714285714,-0.203663873323603
1.669,-0.203873669682512
1.66914285714286,-0.204083936637199
1.66928571428571,-0.204294676129786
1.66942857142857,-0.204505890118342
1.66957142857143,-0.20471758057699
1.66971428571429,-0.204929749496139
1.66985714285714,-0.205142398882603
1.67,-0.205355530759773
1.67014285714286,-0.205569147167789
1.67028571428571,-0.205783250163723
1.67042857142857,-0.205997841821712
1.67057142857143,-0.206212924233185
1.67071428571429,-0.206428499506976
1.67085714285714,-0.206644569769568
1.671,-0.206861137165211
1.67114285714286,-0.207078203856155
1.67128571428571,-0.207295772022805
1.67142857142857,-0.207513843863906
1.67157142857143,-0.207732421596735
1.67171428571429,-0.207951507457319
1.67185714285714,-0.208171103700592
1.672,-0.208391212600581
1.67214285714286,-0.20861183645067
1.67228571428571,-0.208832977563724
1.67242857142857,-0.209054638272336
1.67257142857143,-0.209276820929011
1.67271428571429,-0.209499527906396
1.67285714285714,-0.209722761597458
1.673,-0.209946524415737
1.67314285714286,-0.210170818795515
1.67328571428571,-0.210395647192077
1.67342857142857,-0.210621012081908
1.67357142857143,-0.210846915962918
1.67371428571429,-0.211073361354664
1.67385714285714,-0.211300350798606
1.674,-0.211527886858297
1.67414285714286,-0.211755972119647
1.67428571428571,-0.211984609191155
1.67442857142857,-0.212213800704149
1.67457142857143,-0.212443549313019
1.67471428571429,-0.212673857695475
1.67485714285714,-0.212904728552797
1.675,-0.213136164610081
